"source","type","gene_id","gene_version","gene_name","gene_source","gene_biotype","gene_search","is_top_hvg","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj"
"ensembl_havana","gene","ENSG00000187608",8,"ISG15","ensembl_havana","protein_coding","ISG15; ENSG00000187608",TRUE,0.0147551871962419,0.335680607564669,9.11920372762069,-42272.7909856993,23.241,0.314136876979093,0.350516253051734,0.386681540399872,0.0421052512809338,-42543.7592044436,541.936437488635,167,0,0
"ensembl_havana","gene","ENSG00000131584",18,"ACAP3","ensembl_havana","protein_coding","ACAP3; ENSG00000131584",FALSE,0.00105587398727528,0.286872795073811,0.0690046076942225,-37864.9585182855,20.942,0.286017821882084,0.287937801728965,0.113609055757804,0.00366713738759813,-37868.3028884134,6.68874025576224,1953,0.0352824315800656,0.0466999926443777
"ensembl_havana","gene","ENSG00000242485",5,"MRPL20","ensembl_havana","protein_coding","MRPL20; ENSG00000242485",FALSE,0.00165612315639345,0.441100436892924,0.0149783962169487,-48094.9582943086,20.343,0.478877221150481,0.442772561371886,0.0849810583482749,0.00374048248140915,-48098.5342458554,7.15190309366153,1910,0.0279887804637546,0.0378801034025161
"ensembl_havana","gene","ENSG00000160075",11,"SSU72","ensembl_havana","protein_coding","SSU72; ENSG00000160075",FALSE,0.00306924690730449,0.464631633391836,0.00171621184277718,-49391.5328649487,19.676,0.519306230886516,0.467712596019968,0.106682302389913,0.00656241421940751,-49401.2962748187,19.5268197399564,1282,5.75181579269834e-05,0.000115978500968215
"ensembl_havana","gene","ENSG00000078369",17,"GNB1","ensembl_havana","protein_coding","GNB1; ENSG00000078369",FALSE,0.0070993221974254,0.7113184160483,3.4563599928676e-07,-59584.2040188065,23.359,1.06351733046105,0.718434014459948,0.0792252962919981,0.0098818860107226,-59605.5693972563,42.7307568995457,839,5.26179655402359e-10,1.62118523148403e-09
"ensembl_havana","gene","ENSG00000187730",8,"GABRD","ensembl_havana","protein_coding","GABRD; ENSG00000187730",FALSE,0.00722792770413912,0.496514956649793,0.000179565988159724,-51122.7299032088,20.104,0.572798813031543,0.503742494864071,0.148424225243774,0.0143484462582716,-51165.5937813407,85.727756263921,548,0,0
"ensembl_havana","gene","ENSG00000067606",16,"PRKCZ","ensembl_havana","protein_coding","PRKCZ; ENSG00000067606",FALSE,0.00249918033378169,0.44697013600945,0.0293477724780187,-48448.9184226173,21.287,0.509774609158688,0.449480518840771,0.0980664822603828,0.00556029131001507,-48456.0067814721,14.1767177097208,1485,0.000834766214575233,0.00145311155870504
"ensembl_havana","gene","ENSG00000158109",14,"TPRG1L","ensembl_havana","protein_coding","TPRG1L; ENSG00000158109",FALSE,0.00399579746274194,0.41547397915933,0.51473444288218,-46794.0283499507,21.289,0.466019817960146,0.419489888092633,0.135642987834063,0.00952582923832917,-46814.3385627265,40.6204255515768,861,1.51142520721237e-09,4.53778648158417e-09
"ensembl_havana","gene","ENSG00000069424",14,"KCNAB2","ensembl_havana","protein_coding","KCNAB2; ENSG00000069424",FALSE,0.00517710533290061,0.488333408336845,9.29091708027761e-06,-50654.3112306534,20.644,0.573363844951235,0.493520157052106,0.125491178194247,0.0104903648240514,-50678.190847237,47.759233167104,782,4.25808277526585e-11,1.40756316803865e-10
"ensembl_havana","gene","ENSG00000116254",17,"CHD5","ensembl_havana","protein_coding","CHD5; ENSG00000116254",FALSE,0.00229829035785387,0.342924810689837,0.00457784596487345,-42172.5680513675,17.806,0.364820900409584,0.345233707229477,0.13140828174664,0.00665740603939587,-42182.7396862453,20.3432697555982,1255,3.82397549582025e-05,7.87647542366164e-05
